,code,Lat,Lon,he,geometry,dist,dist_to_france
3680,CCAK,-8.393159169,-245.371558101,36.7134528,POINT (12760379.782623023 -934322.2048399752),182.9435883595646,5268955.320599991
3701,CCPT,70.319639926,-148.500302992,17.0854435,POINT (-16530978.111716282 7827946.509328669),201.5517159925678,7983423.014401163
3714,CCV1,28.459922989,-80.543284767,-24.0956007,POINT (-8966037.447080068 3168144.13515126),739.5914198875197,2255643.2683230108
3715,CCV2,28.460376451,-80.542892173,-24.4776382,POINT (-8965993.743715899 3168194.6143101943),727.1814068443409,2255631.6310181497
3716,CCV5,28.460227799,-80.545231821,-24.1676547,POINT (-8966254.192139896 3168178.066445249),944.0236425773127,2255846.752513913
3722,CDAO,8.694017277,-253.401648888,16.9671995,POINT (11866474.165190428 967813.5762235629),417.42273239107334,6105074.363675812
3727,CDEJ,23.062810429,-109.669454065,-7.5814657,POINT (-12208347.782092106 2567340.313218079),610.3869268112367,1420381.0034780856
3779,CES3,38.324309283,-333.687532736,78.2477126,POINT (2929090.457343164 4266242.594387487),538.7266681860201,1912714.59790769
3786,CEUD,35.894987842,-5.281046073,91.3131441,POINT (-587883.359702177 3995811.768602186),921.2793091569795,902621.7730199425
3860,CHE8,23.09741198,-238.6264204,60.3967684,POINT (13511245.076828856 2571192.1402560566),528.943661927804,6688448.583944312
3902,CHIU,44.494132257,-331.161494682,36.2282538,POINT (3210287.727238872 4953064.1461378075),333.5214739657891,2159838.4701646343
3906,CHKU,23.055847557,-239.907244595,22.8802399,POINT (13368664.379645748 2566565.2098525804),126.03828627608542,6786222.525685377
3908,CHL2,38.776860358,-75.087253966,-8.1994267,POINT (-8358674.876560331 4316620.349614436),645.2066396206181,2265845.838683417
3959,CHR1,36.927080526,-76.006367953,-26.6208348,POINT (-8460990.177574147 4110703.8006365285),514.603946817943,2445759.0835508597
3960,CHR2,36.927002676,-76.00686561,-27.0380849,POINT (-8461045.576497978 4110695.1344141704),563.8234751148391,2445812.447305707
3961,CHR3,46.9417737,-71.058326598,21.2886582,POINT (-7910176.733511487 5225534.345217081),770.6300120284881,1632205.7546066863
3969,CHRS,19.723018148,-156.056769684,23.7816201,POINT (-17372160.136066053 2195556.3371418538),30.763374042805747,3524020.8340972103
3979,CHT1,41.671202413,-69.950045003,-10.4839002,POINT (-7786803.39070053 4638817.0333585935),566.5026619419182,1614637.5846936363
